198 2742
1 8 1
1 24 4099
1 35 8199
1 42 8200
1 46 11
1 60 4108
1 74 8205
1 78 14
1 81 4111
1 95 16
1 98 4112
1 99 4113
1 100 4115
1 101 8212
1 103 22
1 104 8214
1 108 25
1 131 4121
1 132 31
1 154 4128
1 159 32
1 168 8225
1 171 34
2 14 4130
2 54 35
2 150 37
3 115 38
3 153 4136
3 167 8234
3 172 4138
4 5 42
4 13 4139
4 26 8236
4 77 8237
4 85 46
4 102 4142
4 138 8239
4 147 47
4 153 49
4 156 8242
4 167 50
4 169 4147
4 172 8246
4 173 57
4 176 62
4 189 8255
5 13 8256
5 19 8258
5 21 4165
5 26 8262
5 27 4166
5 28 8263
5 29 4168
5 51 72
5 53 8264
5 54 74
5 57 4170
5 73 75
5 75 4172
5 76 4173
5 77 77
5 79 8271
5 85 79
5 86 8275
5 90 8276
5 96 8278
5 97 8280
5 102 8282
5 124 8284
5 126 93
5 128 95
5 136 96
5 138 8288
5 140 4192
5 144 97
5 147 100
5 149 4197
5 153 8293
5 155 102
5 156 8295
5 163 104
5 167 4202
5 169 106
5 172 4204
5 173 109
5 176 4206
5 189 4207
5 191 4208
5 194 113
5 196 4210
5 197 8307
6 152 8308
6 157 117
7 10 4213
7 11 8310
7 14 4215
7 19 120
7 36 121
7 49 8313
7 53 4217
7 55 8316
7 56 4223
7 57 4224
7 60 129
7 61 131
7 67 8323
7 69 132
7 70 8325
7 71 4230
7 72 8326
7 74 135
7 81 8328
7 83 4232
7 87 136
7 93 8329
7 94 138
7 95 4234
7 103 4235
7 108 139
7 111 8334
7 112 8335
7 113 143
7 114 145
7 122 8337
7 125 8338
7 127 4243
7 129 8339
7 130 150
7 132 153
7 136 4249
7 141 4250
7 146 8348
7 150 159
7 151 8352
7 158 160
7 161 8355
7 164 8359
7 168 8361
7 170 8362
7 171 8365
7 177 8366
7 178 8367
7 185 8371
7 190 8373
7 192 4278
7 193 8374
7 194 4279
7 195 8376
7 196 184
7 197 8377
8 35 8378
8 46 186
8 60 4284
8 89 8380
8 95 8381
8 98 8384
8 99 193
8 100 4289
8 101 8385
8 110 8386
8 118 4290
8 121 4291
8 131 196
8 132 4292
8 136 197
8 142 4295
8 154 8392
8 168 4297
8 171 201
8 174 8395
9 11 205
9 23 206
9 32 8398
9 38 4305
9 71 210
9 80 211
9 111 212
9 116 4309
9 117 4310
9 118 8407
9 121 217
9 122 8411
9 135 4316
9 137 221
9 139 4318
9 153 222
9 162 225
9 168 8418
9 179 4322
9 189 4323
10 11 228
10 14 4324
10 49 8421
10 53 230
10 57 4327
10 60 4328
10 61 4329
10 69 4330
10 70 8427
10 71 235
10 74 236
10 87 238
10 103 4335
10 112 8431
10 113 241
10 114 4337
10 127 242
10 130 8435
10 141 245
10 151 4341
10 158 4342
10 161 8438
10 164 4344
10 192 248
10 195 8440
10 196 251
11 23 8443
11 32 253
11 38 8445
11 49 8447
11 53 256
11 57 261
11 71 263
11 80 267
11 112 4363
11 113 4365
11 114 269
11 135 270
11 139 271
11 158 8464
11 161 272
11 162 273
11 164 4369
11 179 8465
11 189 4373
11 196 277
12 18 278
12 19 4374
12 31 8471
12 49 4378
12 53 4379
12 54 283
12 55 4380
12 56 8476
12 57 284
12 60 285
12 61 4382
12 71 286
12 73 287
12 83 8479
12 114 8481
12 129 4386
12 170 294
12 194 4390
12 195 4391
12 196 297
12 197 8490
13 25 4397
13 26 301
13 28 8493
13 73 303
13 85 304
13 86 8500
13 92 4405
13 102 4410
13 128 8506
13 140 8507
13 147 4411
13 148 317
13 149 4415
13 153 319
13 155 8512
13 156 4416
13 167 321
13 169 8513
13 172 4419
13 173 4420
13 176 4421
13 189 327
13 191 4423
14 54 329
14 60 330
14 61 8523
14 69 331
14 70 4427
14 87 332
14 96 8525
14 112 8526
14 114 335
14 127 8527
14 130 4432
14 141 336
14 150 8529
14 151 338
14 158 339
14 161 342
14 164 344
14 185 8536
14 186 4440
14 192 8538
14 194 4444
14 195 4449
15 16 8547
15 24 4452
15 48 8549
15 81 4454
15 91 4455
15 104 361
15 105 8554
15 107 8556
16 24 8557
16 48 367
16 78 8561
16 81 8562
16 91 8563
16 104 4467
16 105 371
16 107 4468
17 62 372
17 136 374
18 19 4471
18 29 4472
18 31 8569
18 50 8570
18 53 379
18 54 4477
18 55 8575
18 56 4479
18 57 384
18 60 8577
18 61 4481
18 73 386
18 77 8578
18 86 8579
18 88 8583
18 90 391
18 96 392
18 114 8585
18 128 4490
18 129 4491
18 131 8587
18 132 396
18 136 4493
18 140 399
18 147 400
18 149 8594
18 158 403
18 167 8596
18 172 405
18 183 8598
18 184 407
18 191 4503
18 194 8601
18 195 409
18 196 410
18 197 4507
19 20 411
19 31 412
19 49 8605
19 53 4511
19 54 416
19 55 4512
19 56 417
19 57 4514
19 60 8612
19 61 422
19 70 8615
19 129 424
19 130 8616
19 136 4522
19 185 8619
19 192 428
19 194 8623
19 195 432
19 196 4529
19 197 8625
20 24 439
20 60 4535
20 70 8633
20 78 4538
20 80 8634
20 87 444
20 136 8637
20 137 4543
20 158 449
20 168 8642
22 43 4546
22 81 4548
22 83 8644
22 98 4549
22 99 453
22 100 454
22 101 8646
22 105 455
22 108 457
22 131 8651
22 132 459
22 136 460
22 164 463
22 170 464
22 174 8657
22 178 465
22 182 466
22 194 8660
22 197 4564
23 32 8662
23 38 471
23 60 8663
23 80 472
23 111 8665
23 135 4572
23 139 8669
23 162 8670
23 168 4576
23 179 4577
23 189 481
24 35 8674
24 42 8676
24 43 485
24 46 8677
24 48 4582
24 60 487
24 74 8680
24 78 488
24 80 4585
24 81 489
24 91 490
24 99 4587
24 100 8683
24 103 8684
24 104 8686
