1134 5451
1 2 32768
1 3 8193
1 4 49154
1 5 24582
1 6 49159
1 7 40967
1 8 16397
1 9 49165
1 10 40973
1 11 32783
1 12 8208
1 13 16401
1 14 32788
1 15 32791
1 16 24600
1 17 8218
1 18 49179
1 19 24605
1 20 32799
1 21 16415
1 22 32800
1 23 32
1 24 16417
1 25 33
1 26 16420
1 27 49189
1 28 40999
1 29 40
1 30 49193
1 31 24619
2 18 24624
2 32 8240
2 13 32817
2 16 41012
2 10 24630
2 24 8247
2 33 24631
2 34 49210
2 22 59
2 35 41021
2 3 24637
2 9 8253
2 20 41023
2 36 24639
2 7 49221
2 6 69
2 8 49222
2 37 8262
2 11 24648
2 4 49227
2 38 24653
2 19 77
3 39 32846
3 21 8271
3 40 32849
3 13 41043
3 7 49236
3 8 16469
3 34 24662
3 28 32855
3 23 87
3 41 41048
3 42 8280
3 43 24664
3 9 89
3 11 8288
3 4 8290
3 18 8291
3 19 16484
3 44 41061
3 16 49253
3 45 24679
3 46 49255
3 6 49256
3 20 109
3 27 110
3 22 41071
3 47 24688
3 48 112
3 49 41074
3 50 16499
3 12 115
3 51 16500
3 52 32885
3 53 49270
3 54 24696
3 55 24701
3 56 24703
4 57 41089
4 58 49282
4 59 24708
4 60 41093
4 46 134
4 61 8326
4 62 16521
4 63 139
4 64 32907
4 65 16524
4 66 8332
4 67 16525
4 11 49294
4 68 49298
4 69 148
4 70 24726
4 71 16541
4 22 157
4 72 41119
5 6 49313
5 73 161
5 74 16546
5 13 16552
5 75 24746
5 76 8365
5 77 173
5 78 49329
5 79 177
6 7 178
6 28 16562
6 13 49332
6 34 24758
6 80 16566
6 81 183
6 16 41144
6 18 185
6 82 16570
6 27 24763
6 83 41149
6 8 49343
6 84 24771
6 85 49347
6 86 32963
6 87 16580
6 22 49348
7 88 8389
7 89 32967
7 22 49352
7 19 41162
7 90 202
7 16 204
7 91 32974
7 92 49359
7 93 32975
7 94 41168
7 28 24788
7 13 213
7 95 49369
7 96 49370
7 97 24798
7 98 41187
7 99 41189
7 100 32998
7 10 49383
7 76 41193
7 15 41194
7 9 24811
8 101 235
8 22 33003
8 102 236
8 28 41197
9 22 8430
9 103 24815
9 13 24817
9 104 49395
9 41 33012
9 24 8437
9 21 41209
9 105 8444
9 16 24828
9 106 16637
9 107 253
9 10 33021
9 30 49407
10 108 8449
10 109 16641
10 34 49411
10 110 33027
10 111 24837
10 112 264
10 16 16648
10 113 268
10 24 33036
10 70 16653
10 114 270
10 115 33038
10 116 24847
10 30 33041
10 117 33044
10 118 16660
10 119 49429
10 120 41237
10 121 16663
10 122 49431
10 123 41241
10 124 16666
10 125 33050
10 126 41243
10 127 8475
10 128 283
10 129 24860
10 130 284
11 131 286
11 73 8481
11 45 49441
11 132 41249
11 133 8483
11 134 24867
11 135 8484
11 22 24869
11 136 41255
11 20 295
11 19 49450
11 18 298
11 137 8491
11 138 24875
11 27 49452
11 25 41260
12 139 41261
12 140 33071
12 141 33072
12 142 49457
12 84 33075
12 143 16693
12 144 8502
12 145 49465
12 146 8506
12 147 41274
12 148 49467
12 149 8508
12 150 24892
12 151 33084
12 152 33085
12 153 49473
13 154 321
13 155 8517
13 156 16712
13 24 49481
13 157 8521
13 28 41290
13 22 8523
13 158 33100
13 16 24909
13 18 33102
13 159 8526
13 14 24914
13 69 33106
13 45 8532
13 106 24917
13 76 33109
13 153 41302
13 160 8534
14 15 344
14 161 345
14 162 41305
14 163 41306
14 164 347
14 123 348
14 33 41310
14 24 8544
14 165 49506
14 166 41316
14 34 49510
14 167 41322
14 124 8559
14 168 49519
14 110 49520
14 169 49521
14 170 33138
14 171 16754
14 172 49524
14 173 41332
14 174 8564
14 80 373
14 136 33142
14 112 41336
14 175 16762
14 176 33150
14 107 33153
14 177 41347
14 178 8581
14 179 41349
14 16 16773
14 180 16774
14 181 24970
14 182 16779
15 76 33164
15 183 24974
15 184 33167
15 185 400
15 186 41361
15 187 49556
15 124 8599
15 33 33177
15 188 49565
15 189 416
15 190 49568
15 168 49570
15 34 419
15 191 8613
15 93 49576
15 23 33196
16 192 25004
16 108 49581
16 24 8621
16 193 8623
16 123 25008
16 194 33201
16 195 33203
16 34 49587
16 196 437
16 197 33205
16 198 8631
16 199 33207
16 30 41400
16 127 16824
16 200 16825
16 77 441
16 105 33209
16 201 25019
16 202 41405
16 203 49598
16 204 49600
16 205 33217
16 206 41409
16 207 8641
16 208 8642
16 209 33218
16 210 16836
16 33 453
16 211 33222
16 212 41414
16 213 49607
16 214 458
16 215 41418
16 216 49611
16 56 33230
16 217 464
16 218 8658
16 219 41429
16 220 49622
16 129 25047
16 221 49624
16 222 16857
17 115 25049
17 24 49625
17 34 33244
17 223 25052
17 224 49630
17 225 33248
18 25 41444
18 39 41445
18 26 41446
18 226 16871
18 23 49645
18 38 41453
18 227 41454
18 21 41455
18 27 33263
18 19 41457
18 22 25074
18 228 49651
19 229 16883
19 230 16884
19 38 41462
19 231 502
19 20 8695
19 27 41464
19 70 506
19 137 16891
19 232 25083
19 186 508
19 120 16892
19 82 49661
19 233 41470
19 234 25086
19 235 16894
19 236 8702
19 237 41473
19 238 41474
19 239 49667
19 240 41476
19 41 16901
19 86 41477
20 233 16902
20 228 41481
20 81 521
20 50 8713
20 241 33292
20 41 524
20 242 49681
20 106 25106
20 243 8723
20 43 8725
20 244 8726
20 22 49687
21 245 16921
21 246 49689
21 40 16922
21 25 49691
21 46 540
21 41 25116
21 54 8733
21 247 16925
21 248 41503
21 47 25121
21 249 49699
21 250 16933
21 251 550
21 223 33318
21 252 551
21 253 33320
21 23 41513
21 50 16939
21 254 49709
21 105 557
21 255 41518
21 210 16944
21 214 33328
21 206 49712
21 55 25136
21 157 8753
21 256 25139
21 107 565
21 91 8762
21 239 8765
21 257 33341
21 258 49726
21 259 41535
21 59 8768
21 260 25153
21 39 579
21 103 580
21 104 33349
21 261 41541
22 27 16966
22 38 41543
22 32 8780
23 262 25166
23 263 49743
23 240 16976
23 264 33361
23 38 41553
23 265 8787
23 266 49748
23 227 598
23 54 25174
23 182 25175
23 134 8793
23 135 33371
23 25 16988
23 43 33375
23 246 16992
23 45 49761
23 267 8802
23 268 25188
23 39 614
23 143 8809
23 269 8811
23 270 17003
23 271 8812
23 272 17005
23 46 8815
23 44 17007
23 42 41584
23 273 17010
23 80 49779
23 196 17013
23 255 25205
23 274 41590
23 275 8822
23 276 25206
23 50 17015
23 277 49785
23 278 33401
23 279 33402
23 97 49788
23 280 8830
23 203 41600
23 230 17024
23 281 8834
23 282 643
23 283 49797
23 284 41605
24 108 25223
24 285 651
24 109 41611
24 286 41614
24 182 25231
24 34 41616
24 176 658
24 287 49811
24 288 17043
24 263 41620
24 289 8852
24 115 25236
24 290 660
24 167 41622
24 70 25239
24 291 17050
24 119 25242
24 292 33437
24 124 33438
24 58 671
24 30 17055
24 168 672
24 33 33441
24 116 8865
24 293 33443
24 294 25251
24 174 8868
24 295 25252
24 110 17060
24 120 49828
24 121 676
