1490 16715
1 2 1
1 21 32770
1 23 5
1 55 32774
1 68 32778
1 85 32780
1 115 14
1 155 32783
1 190 16
1 241 32784
1 256 32786
1 257 32787
1 323 32788
1 367 20
1 434 32790
1 483 32791
1 498 24
1 568 25
1 575 32797
1 641 30
1 642 32801
1 644 34
1 664 32804
1 1131 32810
1 1245 42
1 1435 43
2 18 32814
2 24 32815
2 29 48
2 52 50
2 55 32818
2 99 51
2 144 32820
2 154 52
2 155 32821
2 159 32822
2 172 32825
2 180 59
2 204 32827
2 238 60
2 248 61
2 323 62
2 332 32831
2 363 32832
2 389 32833
2 391 32836
2 431 69
2 446 32837
2 477 32838
2 483 32842
2 495 76
2 544 77
2 547 32846
2 561 78
2 563 79
2 564 32847
2 566 32850
2 572 32851
2 623 32853
2 641 85
2 642 32854
2 644 87
2 650 32856
2 659 32858
2 664 90
2 669 91
2 687 32859
2 754 32860
2 756 92
2 1131 93
5 514 32863
5 720 32866
5 721 98
5 1437 32868
6 737 101
7 454 103
8 40 32872
8 55 32874
8 180 32878
8 181 110
8 202 32881
8 224 32884
8 241 116
8 264 32885
8 267 119
8 278 120
8 387 32893
8 393 125
8 512 32894
8 524 130
8 564 32900
8 567 32901
8 568 134
8 572 136
8 574 139
8 591 141
8 596 32910
8 604 145
8 634 32915
8 722 32917
8 754 150
8 1131 151
9 55 32921
9 145 32925
9 155 32926
9 210 159
9 641 162
9 741 32931
9 756 32932
9 996 32933
10 55 32936
10 72 169
10 155 170
10 301 171
10 461 172
10 472 173
10 477 32941
10 535 32943
10 575 32944
10 641 32947
10 644 182
10 687 32953
10 756 32956
10 1063 191
11 1055 192
12 96 32961
12 155 32962
12 564 32964
12 659 32967
13 15 199
13 40 32972
13 55 204
13 72 32973
13 75 32975
13 99 208
13 118 213
13 144 32982
13 150 214
13 155 215
13 180 32985
13 202 218
13 204 221
13 218 222
13 259 223
13 297 32992
13 323 225
13 344 228
13 363 32997
13 374 32998
13 383 32999
13 390 33000
13 422 33001
13 440 33002
13 454 234
13 460 33003
13 461 33005
13 465 238
13 468 33008
13 469 241
13 480 33010
13 492 242
13 501 33011
13 512 33012
13 561 245
13 566 33014
13 567 247
13 568 33015
13 585 250
13 589 252
13 600 33021
13 604 253
13 620 33023
13 623 255
13 641 259
13 642 261
13 675 264
13 676 33032
13 694 33033
13 699 33034
13 729 33036
13 743 268
13 747 33038
13 764 270
13 1131 33039
13 1427 33043
13 1478 33044
14 55 33045
14 56 280
14 72 281
14 99 282
14 113 33053
14 118 33054
14 119 33056
14 144 288
14 150 33057
14 154 290
14 155 292
14 180 293
14 187 33062
14 189 33063
14 297 297
14 301 298
14 312 33066
14 323 33069
14 347 303
14 363 304
14 387 306
14 394 307
14 405 33075
14 417 33077
14 434 311
14 441 33081
14 454 313
14 460 33082
14 480 33083
14 483 316
14 492 317
14 493 319
14 495 320
14 512 321
14 524 33094
14 535 33095
14 547 329
14 563 332
14 570 33101
14 577 333
14 591 33102
14 634 339
14 641 342
14 642 343
14 644 344
14 650 33113
14 669 345
14 676 33114
14 687 347
14 726 348
14 729 351
14 756 33120
14 798 33121
14 818 354
14 885 33123
14 932 33126
14 1041 361
14 1051 33129
14 1086 362
14 1152 365
14 1179 33136
14 1317 33137
14 1325 33138
14 1337 372
14 1437 374
14 1461 377
14 1478 379
14 1479 380
15 27 33149
15 29 382
15 40 383
15 55 33152
15 65 385
15 72 33154
15 85 388
15 115 33157
15 118 389
15 130 390
15 154 33159
15 155 393
15 156 33164
15 162 396
15 168 397
15 181 33166
15 189 399
15 210 33168
15 224 33170
15 233 33171
15 248 404
15 259 33176
15 264 33177
15 282 33179
15 314 33180
15 323 33181
15 351 414
15 389 33183
15 391 416
15 441 33185
15 449 419
15 480 421
15 481 33191
15 492 423
15 495 427
15 508 33196
15 512 431
15 514 33199
15 544 33200
15 547 434
15 555 33202
15 561 435
15 564 33203
15 568 33204
15 591 33205
15 609 439
15 623 33209
15 640 441
15 641 33210
15 642 443
15 650 33213
15 664 446
15 687 447
15 699 33217
15 703 449
15 729 450
15 736 451
15 754 452
15 1021 33220
15 1131 454
16 18 455
16 31 33224
16 55 33225
16 56 458
16 72 33226
16 90 459
16 118 460
16 180 33229
16 202 461
